Rank,Team,univeristy,Conference,Won,Lost,Year,Sportstype
22,New Haven,University of New Haven,NE10,12,7,2012,W
23,Shepherd,Shepherd University,Independent,10,6,2012,W
23,Queens,Queens University of Charlotte,NY,10,6,2012,W
25,Bentley,Bentley University,NE10,11,7,2012,W
26,St. Anselm,Saint Anselm College,NE10,10,7,2012,W
27,Millersville,Millersville University of Pennsylvania,PSAC,9,7,2012,W
28,Gannon,Gannon University,PSAC,10,8,2012,W
28,Bloomsburg,Bloomsburg University of Pennsylvania,PSAC,10,8,2012,W
30,Saint Leo,Saint Leo University,Independent,8,7,2012,W
31,Molloy,Molloy College,ECC,9,8,2012,W
31,Assumption,Assumption University,NE10,9,8,2012,W
31,Mount Olive,University of Mount Olive,Conference Carolinas,9,8,2012,W
34,Tiffin,Tiffin University,GLIAC,10,9,2012,W
35,Fort Lewis,Fort Lewis College,RMAC,7,7,2012,W
35,Queens,Queens University of Charlotte,NC,10,10,2012,W
35,Converse,Converse College,Conference Carolinas,9,9,2012,W
35,Slippery Rock,Slippery Rock University of Pennsylvania,PSAC,8,8,2012,W
35,Mercy,Mercy College,ECC,7,7,2012,W
35,Georgian Court,Georgian Court University,CACC,8,8,2012,W
41,Newberry,Newberry College,Independent,8,9,2012,W
41,Belmont Abbey,Belmont Abbey College,Conference Carolinas,8,9,2012,W
43,Dominican,Dominican College ,NY,7,8,2012,W
44,Roberts Wesleyan,Roberts Wesleyan College,N/A,7,9,2012,W
44,Lenoir-Rhyne,Lenoir,Independent,7,9,2012,W
46,Southern N.H.,Southern New Hampshire University,NE10,7,10,2012,W
46,Edinboro,Edinboro University of Pennsylvania,PSAC,7,10,2012,W
48,Erskine,Erskine College,Conference Carolinas,6,11,2012,W
49,Saint Michael's,Saint Michael's College,NE10,5,10,2012,W
49,Findlay,University of Findlay,GLIAC,6,12,2012,W
49,Catawba,Catawba College,Independent,5,10,2012,W
49,Bridgeport,University of Bridgeport,ECC,5,10,2012,W
53,Merrimack,Merrimack College,NE10,5,11,2012,W
54,Shippensburg,Shippensburg University of Pennsylvania,PSAC,5,12,2012,W
55,Wheeling,Wheeling University,GLIAC,5,13,2012,W
56,Lees-McRae,Lees,Conference Carolinas,3,8,2012,W
57,Colorado Mesa,Colorado Mesa University,RMAC,4,11,2012,W
57,West Va. Wesleyan,West Virginia Wesleyan College,Independent,4,11,2012,W
59,Chestnut Hill,Chestnut Hill College,CACC,4,13,2012,W
59,Wilmington,Wilmington University ,DE,4,13,2012,W
61,Adams St.,Adams State University,RMAC,3,10,2012,W
62,Urbana,Urbana University ,GLIAC,3,11,2012,W
63,Walsh,Walsh University,GLIAC,2,8,2012,W
63,Franklin Pierce,Franklin Pierce University,NE10,3,12,2012,W
65,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,3,13,2012,W
65,Southern Conn. St.,Southern Connecticut State University,NE10,3,13,2012,W
67,Kutztown,Kutztown University of Pennsylvania,PSAC,3,14,2012,W
68,Chowan,Chowan University,Independent,2,12,2012,W
69,Post,Post University,CACC,2,13,2012,W
70,McKendree,McKendree University,RMAC,1,14,2012,W
71,American Int'l,American International College,NE10,1,15,2012,W
72,Young Harris,Young Harris College,N/A,1,16,2012,W
73,Alderson Broaddus,Alderson Broaddus University,GLIAC,0,13,2012,W
73,Alliance,University of Mount Union ,CACC,0,13,2012,W
1,Limestone,Limestone University,Conference Carolinas,17,2,2011,W
2,Rollins,Rollins College,Independent,15,2,2011,W
3,LIU Post,LIU Post ,ECC,17,3,2011,W
4,Adelphi,Adelphi University,NE10,16,3,2011,W
4,Le Moyne,Le Moyne College,NE10,16,3,2011,W
6,West Chester,West Chester University of Pennsylvania,PSAC,16,4,2011,W
7,Holy Family,Holy Family University,CACC,14,4,2011,W
8,Dowling,Dowling College ,ECC,13,4,2011,W
9,Fla. Southern,Florida Southern College,Independent,12,4,2011,W
9,Lenoir-Rhyne,Lenoir,Independent,12,4,2011,W
11,Stonehill,Stonehill College,NE10,14,5,2011,W
12,Shepherd,Shepherd University,Shepherd,11,4,2011,W
13,New Haven,University of New Haven,NE10,13,5,2011,W
14,Slippery Rock,Slippery Rock University of Pennsylvania,PSAC,12,5,2011,W
15,Bentley,Bentley University,NE10,13,6,2011,W
16,Gannon,Gannon University,PSAC,12,6,2011,W
17,Mercyhurst,Mercyhurst University,PSAC,13,7,2011,W
18,Seton Hill,Seton Hill University,ECC,11,6,2011,W
18,Lock Haven,Lock Haven University of Pennsylvania,PSAC,11,6,2011,W
18,Indiana,Indiana University of Pennsylvania,PA,11,6,2011,W
21,Georgian Court,Georgian Court University,CACC,12,7,2011,W
21,Bloomsburg,Bloomsburg University of Pennsylvania,PSAC,12,7,2011,W
23,Queens,Queens University of Charlotte,NY,10,7,2011,W
23,Grand Valley St.,Grand Valley State University,Independent,10,7,2011,W
25,Belmont Abbey,Belmont Abbey College,Conference Carolinas,9,7,2011,W
26,Wilmington,Wilmington University ,DE,9,8,2011,W
26,Pfeiffer,Pfeiffer University,Conference Carolinas,9,8,2011,W
26,Regis,Regis University,CO,9,8,2011,W
26,Molloy,Molloy College,ECC,9,8,2011,W
30,St. Thomas Aquinas,St. Thomas Aquinas College,ECC,8,8,2011,W
30,St. Anselm,Saint Anselm College,NE10,8,8,2011,W
32,Shippensburg,Shippensburg University of Pennsylvania,PSAC,8,9,2011,W
33,Mercy,Mercy College,ECC,7,8,2011,W
33,Fort Lewis,Fort Lewis College,RMAC,7,8,2011,W
35,Jefferson,Jefferson ,CACC,8,10,2011,W
36,Merrimack,Merrimack College,NE10,7,9,2011,W
37,Queens,Queens University of Charlotte,NC,7,10,2011,W
37,Lake Erie,Lake Erie College,ECC,7,10,2011,W
37,Edinboro,Edinboro University of Pennsylvania,PSAC,7,10,2011,W
40,Dominican,Dominican College ,NY,6,9,2011,W
40,Notre Dame,University of Notre Dame,OH,6,9,2011,W
42,Franklin Pierce,Franklin Pierce University,NE10,6,10,2011,W
43,Saint Leo,Saint Leo University,Independent,5,9,2011,W
44,Millersville,Millersville University of Pennsylvania,PSAC,6,11,2011,W
45,Southern N.H.,Southern New Hampshire University,NE10,5,10,2011,W
45,Converse,Converse College,Conference Carolinas,5,10,2011,W
47,Assumption,Assumption University,NE10,5,11,2011,W
48,Erskine,Erskine College,Conference Carolinas,4,10,2011,W
49,Bridgeport,University of Bridgeport,ECC,3,9,2011,W
49,East Stroudsburg,East Stroudsburg University of Pennsylvania,PSAC,4,12,2011,W
49,Saint Michael's,Saint Michael's College,NE10,4,12,2011,W
52,Kutztown,Kutztown University of Pennsylvania,PSAC,4,13,2011,W
53,Colorado Mesa,Colorado Mesa University,RMAC,3,11,2011,W
54,Chestnut Hill,Chestnut Hill College,CACC,3,13,2011,W
54,American Int'l,American International College,NE10,3,13,2011,W
56,Tiffin,Tiffin University,Tiffin,3,14,2011,W
57,Wheeling,Wheeling University,Independent,2,10,2011,W
57,Newberry,Newberry College,Independent,2,10,2011,W
59,West Va. Wesleyan,West Virginia Wesleyan College,West Va. Wesleyan,2,12,2011,W
59,Catawba,Catawba College,Independent,2,12,2011,W
