Rank,Team,Uni,Conference,W,L,T,Pct.,Year,W-L,Sportstype,,,,,,,,,,
22,Bemidji St. ,Bemidji State University ,WCHA,11,21,4,0.361,2013,,W,,,,,,,,,,
23,Rensselaer ,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,10,20,3,0.348,2013,,W,,,,,,,,,,
24,Colgate ,Colgate University ,ECAC Hockey,10,22,2,0.324,2013,,W,,,,,,,,,,
25,Dartmouth ,Dartmouth College ,ECAC Hockey,9,20,1,0.317,2013,,W,,,,,,,,,,
26,Providence ,Providence College ,Hockey East,11,24,0,0.314,2013,,W,,,,,,,,,,
27,Maine ,University of Maine ,Hockey East,7,20,5,0.297,2013,,W,,,,,,,,,,
28,New Hampshire ,University of New Hampshire ,Hockey East,9,23,2,0.294,2013,,W,,,,,,,,,,
29,UConn ,University of Connecticut (UConn) ,Hockey East,9,24,2,0.286,2013,,W,,,,,,,,,,
30,Union ,Union College (New York) ,NY,9,24,1,0.279,2013,,W,,,,,,,,,,
31,Sacred Heart ,Sacred Heart University ,Independent,3,15,7,0.26,2013,,W,,,,,,,,,,
32,Brown ,Brown University ,ECAC Hockey,4,20,5,0.224,2013,,W,,,,,,,,,,
33,Lindenwood ,Lindenwood University ,CHA,5,26,3,0.191,2013,,W,,,,,,,,,,
34,St. Cloud St. ,St. Cloud State University ,WCHA,4,27,5,0.181,2013,,W,,,,,,,,,,
35,Penn St. ,Pennsylvania State University ,CHA,4,29,3,0.153,2013,,W,,,,,,,,,,
1,Minnesota ,University of Minnesota ,WCHA,41,0,0,1,2012,,W,,,,,,,,,,
2,Cornell ,Cornell University ,ECAC Hockey,27,6,1,0.809,2012,,W,,,,,,,,,,
3,Mercyhurst ,Mercyhurst University ,CHA,29,7,1,0.797,2012,,W,,,,,,,,,,
3,Boston U. ,Boston University ,Hockey East,28,6,3,0.797,2012,,W,,,,,,,,,,
5,Boston College ,Boston College ,Hockey East,27,7,3,0.77,2012,,W,,,,,,,,,,
6,Harvard ,Harvard University ,ECAC Hockey,24,7,3,0.75,2012,,W,,,,,,,,,,
7,Clarkson ,Clarkson University ,ECAC Hockey,28,10,0,0.737,2012,,W,,,,,,,,,,
8,Wisconsin ,University of Wisconsin,WCHA,23,10,2,0.686,2012,,W,,,,,,,,,,
9,North Dakota ,University of North Dakota ,WCHA,26,12,1,0.679,2012,,W,,,,,,,,,,
10,Northeastern ,Northeastern University ,Hockey East,23,11,2,0.667,2012,,W,,,,,,,,,,
11,Quinnipiac ,Quinnipiac University ,ECAC Hockey,20,12,4,0.611,2012,,W,,,,,,,,,,
12,Dartmouth ,Dartmouth College ,ECAC Hockey,16,10,5,0.597,2012,,W,,,,,,,,,,
13,Syracuse ,Syracuse University ,CHA,20,15,1,0.569,2012,,W,,,,,,,,,,
14,St. Lawrence ,St. Lawrence University ,ECAC Hockey,19,14,5,0.566,2012,,W,,,,,,,,,,
15,Ohio St. ,The Ohio State University ,WCHA,19,15,3,0.554,2012,,W,,,,,,,,,,
16,Sacred Heart ,Sacred Heart University ,Independent,16,13,2,0.548,2012,,W,,,,,,,,,,
17,Robert Morris ,Robert Morris University ,CHA,15,15,3,0.5,2012,,W,,,,,,,,,,
18,Providence ,Providence College ,Hockey East,15,16,5,0.486,2012,,W,,,,,,,,,,
19,Minn. Duluth ,University of Minnesota Duluth ,WCHA,14,16,4,0.471,2012,,W,,,,,,,,,,
19,New Hampshire ,University of New Hampshire ,Hockey East,14,16,4,0.471,2012,,W,,,,,,,,,,
21,Princeton ,Princeton University ,ECAC Hockey,11,16,2,0.414,2012,,W,,,,,,,,,,
22,Colgate ,Colgate University ,ECAC Hockey,11,21,3,0.357,2012,,W,,,,,,,,,,
23,Minnesota St. ,"Minnesota State University, Mankato ",WCHA,10,21,5,0.347,2012,,W,,,,,,,,,,
24,Rensselaer ,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,10,22,4,0.333,2012,,W,,,,,,,,,,
25,Vermont ,University of Vermont ,Hockey East,8,21,4,0.303,2012,,W,,,,,,,,,,
26,St. Cloud St. ,St. Cloud State University ,WCHA,9,24,3,0.292,2012,,W,,,,,,,,,,
27,Union ,Union College (New York) ,NY,7,23,4,0.265,2012,,W,,,,,,,,,,
28,Brown ,Brown University ,ECAC Hockey,6,20,1,0.241,2012,,W,,,,,,,,,,
29,Yale ,Yale University ,ECAC Hockey,5,21,3,0.224,2012,,W,,,,,,,,,,
30,Maine ,University of Maine ,Hockey East,5,24,4,0.212,2012,,W,,,,,,,,,,
1,Cornell ,Cornell University ,ECAC Hockey,30,5,0,0.857,2011,30-5,W,,,,,,,,,,
2,Minnesota ,University of Minnesota ,WCHA,34,5,2,0.854,2011,34-5-2,W,,,,,,,,,,
3,Wisconsin ,University of Wisconsin,WCHA,33,5,2,0.85,2011,33-5-2,W,,,,,,,,,,
4,Northeastern ,Northeastern University ,ECAC,22,7,4,0.727,2011,22-7-4,W,,,,,,,,,,
5,Mercyhurst ,Mercyhurst University ,CHA,23,8,3,0.721,2011,23-8-3,W,,,,,,,,,,
6,Harvard ,Harvard University ,ECAC,22,9,1,0.703,2011,22-9-1,W,,,,,,,,,,
7,Boston College ,Boston College ,Hockey East,24,10,3,0.689,2011,24-10-3,W,,,,,,,,,,
8,St. Lawrence ,St. Lawrence University ,ECAC Hockey,24,10,4,0.684,2011,24-10-4,W,,,,,,,,,,
9,Clarkson ,Clarkson University ,ECAC,22,10,5,0.662,2011,22-10-5,W,,,,,,,,,,
10,Robert Morris ,Robert Morris University ,ECAC,19,9,4,0.656,2011,19-9-4,W,,,,,,,,,,
11,North Dakota ,University of North Dakota ,WCHA,22,12,3,0.635,2011,22-12-3,W,,,,,,,,,,
12,Dartmouth ,Dartmouth College ,ECAC,18,10,2,0.633,2011,18-10-2,W,,,,,,,,,,
13,Boston U. ,Boston University ,Hockey East,23,14,1,0.618,2011,23-14-1,W,,,,,,,,,,
14,Minn. Duluth ,University of Minnesota Duluth ,ECAC,21,14,1,0.597,2011,21-14-1,W,,,,,,,,,,
15,Maine ,University of Maine ,ECAC,17,11,6,0.588,2011,17-11-6,W,,,,,,,,,,
16,Quinnipiac ,Quinnipiac University ,ECAC,19,16,2,0.541,2011,19-16-2,W,,,,,,,,,,
17,Bemidji St. ,Bemidji State University ,ECAC,17,17,3,0.5,2011,17-17-3,W,,,,,,,,,,
17,Ohio St. ,The Ohio State University ,ECAC,16,16,4,0.5,2011,16-16-4,W,,,,,,,,,,
19,Providence ,Providence College ,ECAC,16,17,4,0.486,2011,16-17-4,W,,,,,,,,,,
20,Princeton ,Princeton University ,ECAC,12,15,4,0.452,2011,12-15-4,W,,,,,,,,,,
21,Niagara ,Niagara University ,ECAC,10,16,8,0.412,2011,10-16-8,W,,,,,,,,,,
22,Sacred Heart ,Sacred Heart University ,ECAC,11,17,1,0.397,2011,11-17-1,W,,,,,,,,,,
23,Brown ,Brown University ,ECAC,8,16,7,0.371,2011,8-16-7,W,,,,,,,,,,
24,Colgate ,Colgate University ,ECAC,10,21,2,0.333,2011,10-21-2,W,,,,,,,,,,
25,New Hampshire ,University of New Hampshire ,ECAC,10,22,3,0.329,2011,10-22-3,W,,,,,,,,,,
25,Syracuse ,Syracuse University ,Syracuse,10,22,3,0.329,2011,10-22-3,W,,,,,,,,,,
27,Rensselaer ,Rensselaer Polytechnic Institute (RPI) ,ECAC,9,21,4,0.324,2011,9-21-4,W,,,,,,,,,,
28,Vermont ,University of Vermont ,ECAC,4,21,6,0.226,2011,4-21-6,W,,,,,,,,,,
29,UConn ,University of Connecticut (UConn) ,ECAC,4,23,7,0.221,2011,4-23-7,W,,,,,,,,,,
30,Minnesota St. ,"Minnesota State University, Mankato ",ECAC,7,28,1,0.208,2011,7-28-1,W,,,,,,,,,,
31,Union ,Union College (New York) ,NY,4,26,4,0.176,2011,4-26-4,W,,,,,,,,,,
32,St. Cloud St. ,St. Cloud State University ,ECAC,5,29,2,0.167,2011,5-29-2,W,,,,,,,,,,
33,Yale ,Yale University ,ECAC,1,27,1,0.052,2011,1-27-1,W,,,,,,,,,,
