Rank,Team,University,Conference,Goalie Won,Goalie Loss,Goalie Tied,Pct.,Year,Sportstype,,,,,,,,,
8,Cornell,Cornell University ,ECAC Hockey,19,9,7,0.643,2011,M,,,,,,,,,
9,Michigan,University of Michigan ,CCHA,24,13,4,0.634,2011,M,,,,,,,,,
10,Air Force,United States Air Force Academy ,Atlantic Hockey,21,11,7,0.628,2011,M,,,,,,,,,
11,Denver,University of Denver ,WCHA,25,14,4,0.628,2011,M,,,,,,,,,
12,Maine,University of Maine ,Hockey East,23,14,3,0.613,2011,M,,,,,,,,,
13,Miami,Miami University (Ohio) ,OH,24,15,2,0.61,2011,M,,,,,,,,,
14,Boston U.,Boston University ,Hockey East,23,15,1,0.603,2011,M,,,,,,,,,
15,RIT,Rochester Institute of Technology (RIT) ,Atlantic Hockey,20,13,6,0.59,2011,M,,,,,,,,,
16,Western Mich.,Western Michigan University ,CCHA,21,14,6,0.585,2011,M,,,,,,,,,
17,Niagara,Niagara University ,Atlantic Hockey,17,11,9,0.581,2011,M,,,,,,,,,
17,Merrimack,Merrimack College ,Hockey East,18,12,7,0.581,2011,M,,,,,,,,,
19,Quinnipiac,Quinnipiac University ,ECAC Hockey,20,14,6,0.575,2011,M,,,,,,,,,
20,Holy Cross,College of the Holy Cross ,Atlantic Hockey,20,15,4,0.564,2011,M,,,,,,,,,
21,Mercyhurst,Mercyhurst University ,Atlantic Hockey,20,16,4,0.55,2011,M,,,,,,,,,
22,Harvard,Harvard University ,ECAC Hockey,13,10,11,0.544,2011,M,,,,,,,,,
23,Northern Mich.,Northern Michigan University ,CCHA,17,14,6,0.541,2011,M,,,,,,,,,
24,Michigan St.,Michigan State University ,CCHA,19,16,4,0.538,2011,M,,,,,,,,,
25,Colorado Col.,Colorado College ,WCHA,18,16,2,0.528,2011,M,,,,,,,,,
26,Colgate,Colgate University ,ECAC Hockey,19,17,3,0.526,2011,M,,,,,,,,,
27,Notre Dame,University of Notre Dame ,CCHA,19,18,3,0.513,2011,M,,,,,,,,,
27,Lake Superior St.,Lake Superior State University ,CCHA,18,17,5,0.513,2011,M,,,,,,,,,
29,Robert Morris,Robert Morris University ,Atlantic Hockey,17,17,5,0.5,2011,M,,,,,,,,,
29,Ohio St.,The Ohio State University ,CCHA,15,15,5,0.5,2011,M,,,,,,,,,
29,St. Cloud St.,St. Cloud State University ,WCHA,17,17,5,0.5,2011,M,,,,,,,,,
29,Bentley,Bentley University ,Atlantic Hockey,16,16,8,0.5,2011,M,,,,,,,,,
29,Yale,Yale University ,ECAC Hockey,16,16,3,0.5,2011,M,,,,,,,,,
34,Clarkson,Clarkson University ,ECAC Hockey,16,17,6,0.487,2011,M,,,,,,,,,
35,Bemidji St.,Bemidji State University ,WCHA,17,18,3,0.487,2011,M,,,,,,,,,
36,Wisconsin,University of Wisconsin,WCHA,17,18,2,0.486,2011,M,,,,,,,,,
37,Michigan Tech,Michigan Technological University ,WCHA,16,19,4,0.462,2011,M,,,,,,,,,
37,UConn,University of Connecticut (UConn) ,Atlantic Hockey,16,19,4,0.462,2011,M,,,,,,,,,
39,Northeastern,Northeastern University ,Hockey East,13,16,5,0.456,2011,M,,,,,,,,,
40,Dartmouth,Dartmouth College ,ECAC Hockey,13,16,4,0.455,2011,M,,,,,,,,,
41,Omaha,University of Nebraska Omaha ,WCHA,14,18,6,0.447,2011,M,,,,,,,,,
42,New Hampshire,University of New Hampshire ,Hockey East,15,19,3,0.446,2011,M,,,,,,,,,
43,Massachusetts,University of Massachusetts Amherst ,Hockey East,13,18,5,0.431,2011,M,,,,,,,,,
43,St. Lawrence,St. Lawrence University ,ECAC Hockey,14,19,3,0.431,2011,M,,,,,,,,,
45,Providence,Providence College ,Hockey East,14,20,4,0.421,2011,M,,,,,,,,,
46,Princeton,Princeton University ,ECAC Hockey,9,16,7,0.391,2011,M,,,,,,,,,
47,Alas. Fairbanks,University of Alaska Fairbanks ,CCHA,12,20,4,0.389,2011,M,,,,,,,,,
48,Bowling Green,Bowling Green State University ,CCHA,14,25,5,0.375,2011,M,,,,,,,,,
49,Brown,Brown University ,ECAC Hockey,9,18,5,0.359,2011,M,,,,,,,,,
50,Rensselaer,Rensselaer Polytechnic Institute (RPI) ,ECAC Hockey,12,24,3,0.346,2011,M,,,,,,,,,
51,Minnesota St.,"Minnesota State University, Mankato ",WCHA,12,24,2,0.342,2011,M,,,,,,,,,
52,Canisius,Canisius College ,Atlantic Hockey,10,22,4,0.333,2011,M,,,,,,,,,
53,Alas. Anchorage,University of Alaska Anchorage ,WCHA,9,25,2,0.278,2011,M,,,,,,,,,
54,American Int'l,American International College ,Atlantic Hockey,8,26,3,0.257,2011,M,,,,,,,,,
55,Army West Point,United States Military Academy (Army) ,Atlantic Hockey,4,23,7,0.221,2011,M,,,,,,,,,
56,Sacred Heart,Sacred Heart University ,Atlantic Hockey,6,28,3,0.203,2011,M,,,,,,,,,
57,Vermont,University of Vermont ,Hockey East,6,27,1,0.191,2011,M,,,,,,,,,
58,Alabama Huntsville,University of Alabama in Huntsville ,DI Independent,2,28,1,0.081,2011,M,,,,,,,,,
