unitid,OPEID,institution_name,addr1_txt,city_txt,state_cd,zip_text,ClassificationCode,classification_name,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,sector_name,SPORTSCODE,PARTIC_MEN,PARTIC_WOMEN,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,OPEXPPERPART_MEN,OPEXPPERTEAM_MEN,OPEXPPERPART_WOMEN,OPEXPPERTEAM_WOMEN,TOTAL_OPEXP_MENWOMEN,SUM_OPEXPPERPART_MEN,SUM_OPEXPPERTEAM_MEN,SUM_OPEXPPERPART_WOMEN,SUM_OPEXPPERTEAM_WOMEN,TOTAL_OPEXP_INCLCOED,MEN_TOTAL_HEADCOACH,WOMEN_TOTAL_HDCOACH,SUM_FTHDCOACH_MALE,SUM_PTHDCOACH_MALE,SUM_FTUNIVEMP_MALE,SUM_PTUNIVEMP_MALE,SUM_FTHDCOACH_FEM,SUM_PTHDCOACH_FEM,SUM_FTUNIVEMP_FEM,SUM_PTUNIVEMP_FEM,SUM_TOTAL_HDCOACH,MEN_TOTAL_ASSTCOACH,WOMEN_TOTAL_ASTCOACH,SUM_FTASCOACH_MALE,SUM_PTASCOACH_MALE,SUM_FTACUNIVEMP_MALE,SUM_PTACUNIVEMP_MALE,SUM_FTASCOACH_FEM,SUM_PTASCOACH_FEM,SUM_FTACUNIVEMP_FEM,SUM_PTACUNIVEMP_FEM,SUM_TOTAL_ASSTCOACH,REV_MEN,REV_WOMEN,TOTAL_REV_MENWOMEN,REVENUE_MENALL,REVENUE_WOMENALL,TOTAL_REVENUE_ALL,EXP_MEN,EXP_WOMEN,TOTAL_EXP_MENWOMEN,EXPENSE_MENALL,EXPENSE_WOMENALL,TOTAL_EXPENSE_ALL,Sports
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",2,16,15,16,15,23790,380644,20072,301080,681724,23790,380644,20072,301080,681724,1,1,2,0,2,0,0,0,0,0,2,3,3,5,0,5,0,1,0,1,0,6,2191120,1598055,3789175,2191120,1598055,3789175,2191120,1598055,3789175,2191120,1598055,3789175,Basketball
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",3,66,93,66,93,913,60242,425,39541,99783,913,60242,425,39541,99783,1,1,0,2,2,0,0,0,0,0,2,3,3,0,6,4,2,0,0,0,0,6,589134,753018,1342152,589134,753018,1342152,589134,753018,1342152,589134,753018,1342152,Track and Field and Cross Country (combined)
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",8,12,8,12,8,7418,89018,5319,42548,131566,7418,89018,5319,42548,131566,1,1,1,0,1,0,1,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,510431,404570,915001,510431,404570,915001,510431,404570,915001,510431,404570,915001,Golf
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",15,,27,0,27,0,0,4350,117448,117448,0,0,4350,117448,117448,,1,1,0,1,0,0,0,0,0,1,,2,0,0,0,0,1,1,1,1,2,,782640,782640,0,782640,782640,,782640,782640,0,782640,782640,Soccer
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",19,,33,0,33,0,0,2199,72553,72553,0,0,2199,72553,72553,,1,0,0,0,0,1,0,1,0,1,,3,0,1,0,1,1,1,1,1,3,,637383,637383,0,637383,637383,,637383,637383,0,637383,637383,Swimming
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",26,,16,0,16,0,0,7188,115013,115013,0,0,7188,115013,115013,,1,0,0,0,0,1,0,1,0,1,,2,1,0,1,0,0,1,0,1,2,,714297,714297,0,714297,714297,,714297,714297,0,714297,714297,Volleyball
106245,110100,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,3,NCAA Division I without football,1175,1770,2945,1,"Public, 4-year or above",28,35,,35,0,1622,56784,0,0,56784,1622,56784,0,0,56784,1,,1,0,1,0,0,0,0,0,1,2,,1,1,1,1,0,0,0,0,2,721922,,721922,721922,0,721922,721922,,721922,721922,0,721922,Wrestling
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",1,40,,40,0,11947,477884,0,0,477884,11947,477884,0,0,477884,1,,1,0,1,0,0,0,0,0,1,4,,3,1,3,1,0,0,0,0,4,2389868,,2389868,2389868,0,2389868,2092633,,2092633,2092633,0,2092633,Baseball
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",2,18,16,18,16,31226,562067,26630,426075,988142,31226,562067,26630,426075,988142,1,1,2,0,2,0,0,0,0,0,2,5,5,6,0,6,0,4,0,4,0,10,3967301,2264553,6231854,3967301,2264553,6231854,3596888,2232422,5829310,3596888,2232422,5829310,Basketball
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",8,8,9,8,9,9455,75640,8249,74245,149885,9455,75640,8249,74245,149885,1,1,2,0,2,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,1,2,484993,488078,973071,484993,488078,973071,458274,482255,940529,458274,482255,940529,Golf
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",15,28,28,28,28,5773,161654,5635,157787,319441,5773,161654,5635,157787,319441,1,1,1,0,1,0,1,0,1,0,2,3,3,4,2,4,2,0,0,0,0,6,1129867,1540202,2670069,1129867,1540202,2670069,1123367,1439976,2563343,1123367,1439976,2563343,Soccer
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",16,,29,0,29,0,0,9741,282492,282492,0,0,9741,282492,282492,,1,1,0,1,0,0,0,0,0,1,,4,1,0,1,0,2,1,2,1,4,,1814720,1814720,0,1814720,1814720,,1756481,1756481,0,1756481,1756481,Softball
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",18,28,31,28,31,3821,106985,3683,114174,221159,3821,106985,3683,114174,221159,1,1,0,2,2,0,0,0,0,0,2,6,6,0,10,2,8,0,2,2,0,12,1188643,1220058,2408701,1188643,1220058,2408701,1105987,1213510,2319497,1105987,1213510,2319497,Swimming and Diving (combined)
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",24,15,21,15,21,2773,41588,1935,40643,82231,2773,41588,1935,40643,82231,1,1,0,2,2,0,0,0,0,0,2,2,2,0,2,2,0,0,2,2,0,4,780041,851510,1631551,780041,851510,1631551,780041,851510,1631551,780041,851510,1631551,Track and Field (Outdoor)
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",25,17,20,17,20,2799,47581,2215,44296,91877,2799,47581,2215,44296,91877,1,1,0,2,2,0,0,0,0,0,2,2,2,0,2,2,0,0,2,2,0,4,210024,213161,423185,210024,213161,423185,209799,212910,422709,209799,212910,422709,Cross Country
110361,112500,California Baptist University,8432 Magnolia Ave,Riverside,CA,925043297,3,NCAA Division I without football,2704,4606,7310,2,"Private nonprofit, 4-year or above",26,,18,0,18,0,0,8856,159408,159408,0,0,8856,159408,159408,,1,1,0,1,0,0,0,0,0,1,,2,0,0,0,0,2,0,2,0,2,,1125261,1125261,0,1125261,1125261,,1097566,1097566,0,1097566,1097566,Volleyball
