unitid,OPEID,institution_name,addr1_txt,addr2_txt,city_txt,state_cd,zip_text,ClassificationCode,classification_name,ClassificationOther,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,sector_name,STUDENTAID_MEN,STUDENTAID_WOMEN,STUDENTAID_COED,STUDENTAID_TOTAL,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,STUAID_COED_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,RECRUITEXP_COED,RECRUITEXP_TOTAL,HDCOACH_SALARY_MEN,HDCOACH_SALARY_WOMEN,HDCOACH_SALARY_COED,NUM_HDCOACH_MEN,NUM_HDCOACH_WOMEN,NUM_HDCOACH_COED,HDCOACH_SAL_FTE_MEN,HDCOACH_SAL_FTE_WOMN,HDCOACH_SAL_FTE_COED,FTE_HDCOACH_MEN,FTE_HDCOACH_WOMEN,FTE_HDCOACH_COED,ASCOACH_SALARY_MEN,ASCOACH_SALARY_WOMEN,ASCOACH_SALARY_COED,NUM_ASCOACH_MEN,NUM_ASCOACH_WOMEN,NUM_ASCOACH_COED,ASCOACH_SAL_FTE_MEN,ASCOACH_SAL_FTE_WOMN,ASCOACH_SAL_FTE_COED,FTE_ASCOACH_MEN,FTE_ASCOACH_WOMEN,FTE_ASCOACH_COED,IL_PARTIC_MEN,IL_PARTIC_WOMEN,IL_PARTIC_COED_MEN,IL_PARTIC_COED_WOMEN,IL_SUM_PARTIC_MEN,IL_SUM_PARTIC_WOMEN,IL_OPEXPPERPART_MEN,IL_OPEXPPERTEAM_MEN,IL_OPEXPPERPART_WOMEN,IL_OPEXPPERTEAM_WOMEN,IL_TOTAL_OPEXP_MENWOMEN,IL_OPEXPPERPART_COED_MEN,IL_OPEXPPERTEAM_COED_MEN,IL_OPEXP_PART_COED_WOMEN,IL_OPEXP_TEAM_COED_WOMEN,IL_TOTAL_OPEXP_COEDTEAM,IL_SUM_OPEXPPERPART_MEN,IL_SUM_OPEXPPERTEAM_MEN,IL_SUM_OPEXPPERPART_WOMEN,IL_SUM_OPEXPPERTEAM_WOMEN,IL_TOTAL_OPEXP_INCLCOED,IL_MEN_FTHEADCOACH_MALE,IL_MEN_PTHEADCOACH_MALE,IL_MEN_FTUNIVEMPLOY_MALE,IL_MEN_PTUNIVEMPLOY_MALE,IL_MEN_FTHEADCOACH_FEM,IL_MEN_PTHEADCOACH_FEM,IL_MEN_FTUNIVEMPLOY_FEM,IL_MEN_PTUNIVEMPLOY_FEM,IL_MEN_TOTAL_HEADCOACH,IL_WOMEN_FTHDCOACH_MALE,IL_WOMEN_PTHDCOACH_MALE,IL_WOMEN_FTUNIVEMP_MALE,IL_WOMEN_PTUNIVEMP_MALE,IL_WOMEN_FTHDCOACH_FEM,IL_WOMEN_PTHDCOACH_FEM,IL_WOMEN_FTUNIVEMP_FEM,IL_WOMEN_PTUNIVEMP_FEM,IL_WOMEN_TOTAL_HDCOACH,IL_COED_FTHDCOACH_MALE,IL_COED_PTHDCOACH_MALE,IL_COED_FTUNIVEMP_MALE,IL_COED_PTUNIVEMP_MALE,IL_COED_FTHDCOACH_FEM,IL_COED_PTHDCOACH_FEM,IL_COED_FTUNIVEMP_FEM,IL_COED_PTUNIVEMP_FEM,IL_COED_TOTAL_HDCOACH,IL_SUM_FTHDCOACH_MALE,IL_SUM_PTHDCOACH_MALE,IL_SUM_FTUNIVEMP_MALE,IL_SUM_PTUNIVEMP_MALE,IL_SUM_FTHDCOACH_FEM,IL_SUM_PTHDCOACH_FEM,IL_SUM_FTUNIVEMP_FEM,IL_SUM_PTUNIVEMP_FEM,IL_SUM_TOTAL_HDCOACH,IL_MEN_FTASCOACH_MALE,IL_MEN_PTASCOACH_MALE,IL_MEN_FTACUNIVEMP_MALE,IL_MEN_PTACUNIVEMP_MALE,IL_MEN_FTASSTCOACH_FEM,IL_MEN_PTASSTCOACH_FEM,IL_MEN_FTACUNIVEMP_FEM,IL_MEN_PTACUNIVEMP_FEM,IL_MEN_TOTAL_ASSTCOACH,IL_WOMEN_FTASCOACH_MALE,IL_WOMEN_PTASCOACH_MALE,IL_WOMEN_FTACUNEMP_MALE,IL_WOMEN_PTACUNEMP_MALE,IL_WOMEN_FTASTCOACH_FEM,IL_WOMEN_PTASTCOACH_FEM,IL_WOMN_FTACUNIVEMP_FEM,IL_WOMN_PTACUNIVEMP_FEM,IL_WOMEN_TOTAL_ASTCOACH,IL_COED_FTASCOACH_MALE,IL_COED_PTASCOACH_MALE,IL_COED_FTACUNEMP_MALE,IL_COED_PTACUNEMP_MALE,IL_COED_FTASTCOACH_FEM,IL_COED_PTASTCOACH_FEM,IL_COED_FTACUNIVEMP_FEM,IL_COED_PTACUNIVEMP_FEM,IL_COED_TOTAL_ASTCOACH,IL_SUM_FTASCOACH_MALE,IL_SUM_PTASCOACH_MALE,IL_SUM_FTACUNIVEMP_MALE,IL_SUM_PTACUNIVEMP_MALE,IL_SUM_FTASCOACH_FEM,IL_SUM_PTASCOACH_FEM,IL_SUM_FTACUNIVEMP_FEM,IL_SUM_PTACUNIVEMP_FEM,IL_SUM_TOTAL_ASSTCOACH,IL_REV_MEN,IL_REV_WOMEN,IL_TOTAL_REV_MENWOMEN,IL_REV_COED_MEN,IL_REV_COED_WOMEN,IL_TOTAL_REV_COED,IL_REVENUE_MENALL,IL_REVENUE_WOMENALL,IL_TOTAL_REVENUE_ALL,IL_EXP_MEN,IL_EXP_WOMEN,IL_TOTAL_EXP_MENWOMEN,IL_EXP_COED_MEN,IL_EXP_COED_WOMEN,IL_TOTAL_EXP_COED,IL_EXPENSE_MENALL,IL_EXPENSE_WOMENALL,IL_TOTAL_EXPENSE_ALL,UNDUP_CT_PARTIC_MEN,UNDUP_CT_PARTIC_WOMEN,TOT_REVENUE_ALL_NOTALLOC,TOT_EXPENSE_ALL_NOTALLOC,GRND_TOTAL_REVENUE,GRND_TOTAL_EXPENSE
212054,00325600,Drexel University,3141 Chestnut St,,Philadelphia,PA,19104,3,NCAA Division I without football,,6848,6276,13124,2,"Private nonprofit, 4-year or above",5225860,5680770,,10906630,48,52,0,145833,68567,,214400,122870,98038,,9,9,,157976,117646,,7,7.5,,60403,54753,,15,16,,78787,66117,,11.5,13.25,,262,227,,,262,227,74131,1520587,53672,1249437,2770024,,,,,,74131,1520587,53672,1249437,2770024,5,4,8,1,0,0,0,0,9,1,3,4,0,5,0,5,0,9,,,,,,,,,,6,7,12,1,5,0,5,0,18,9,5,11,3,0,1,1,0,15,1,2,2,1,10,3,11,2,16,,,,,,,,,,10,7,13,4,10,4,12,2,31,7206330,7374336,14580666,,,,7206330,7374336,14580666,7206330,7374336,14580666,,,,7206330,7374336,14580666,260,226,5464787,5464787,25699496,25699496
213367,00328700,La Salle University,1900 W Olney Ave,,Philadelphia,PA,191411199,3,NCAA Division I without football,,862,1436,2298,2,"Private nonprofit, 4-year or above",1825832,3015020,,4840852,38,62,0,89227,82655,,171882,121099,64221,,6,9,,181648,82570,,4,7,,38419,31473,,15,21,,54884,48958,,10.5,13.5,,162,264,,,162,264,56330,1063679,49255,1024766,2088445,,,,,,56330,1063679,49255,1024766,2088445,2,3,5,0,0,1,1,0,6,1,2,3,0,4,2,6,0,9,,,,,,,,,,3,5,8,0,4,3,7,0,15,4,7,8,3,0,5,1,4,16,2,7,5,4,5,8,6,7,22,,,,,,,,,,6,14,13,7,5,13,7,11,38,2119228,3953457,6072685,,,,2119228,3953457,6072685,2119228,3953457,6072685,,,,2119228,3953457,6072685,125,220,3908616,3908616,15010308,15010308
215770,00336700,Saint Joseph's University,5600 City Avenue,,Philadelphia,PA,191311395,3,NCAA Division I without football,,1844,2015,3859,2,"Private nonprofit, 4-year or above",3809274,4675084,,8484358,45,55,0,137032,79315,,216347,165554,95622,,8,8,,174958,95622,,7.57,8,,61706,44784,,14,16,,74666,51811,,11.57,13.83,,501,417,,,501,417,76729,1635400,54337,1118418,2753818,,,,,,76729,1635400,54337,1118418,2753818,7,1,7,1,0,0,0,0,8,2,0,2,0,6,0,6,0,8,,,,,,,,,,9,1,9,1,6,0,6,0,16,10,6,11,5,0,1,0,1,17,2,3,3,2,10,3,10,3,18,,,,,,,,,,12,9,14,7,10,4,10,4,35,4998735,5856963,10855698,,,,4998735,5856963,10855698,4998735,5856963,10855698,,,,4998735,5856963,10855698,343,289,4027052,4027052,22989452,22989452
217402,00340600,Providence College,1 Cunningham Square,,Providence,RI,029180001,3,NCAA Division I without football,,1802,2192,3994,2,"Private nonprofit, 4-year or above",4651647,6480164,,11131811,42,58,0,209276,303264,,512540,804288,118236,,7,10,,1023639,139101,,5.5,8.5,,110291,53327,,14,16,,158367,69652,,9.75,12.25,,224,243,,,224,243,229868,4313555,114629,2035911,6349466,,,,,,229868,4313555,114629,2035911,6349466,4,3,7,0,0,0,0,0,7,3,2,5,0,4,1,5,0,10,,,,,,,,,,7,5,12,0,4,1,5,0,17,8,7,9,6,0,2,2,0,17,2,5,3,4,9,3,11,1,19,,,,,,,,,,10,12,12,10,9,5,13,1,36,8693066,9049028,17742094,,,,8693066,9049028,17742094,8693066,9049028,17742094,,,,8693066,9049028,17742094,184,200,14634415,14634415,49430230,49430230
217819,00342800,College of Charleston,66 George St,,Charleston,SC,294240001,3,NCAA Division I without football,,3014,6170,9184,1,"Public, 4-year or above",1978349,3178301,0,5156650,38,62,0,190356,123279,2014,315649,204467,95777,37900,6,10,1,240079,131381,90238,5.11,7.29,0.42,78628,46265,8406,9,17,3,78803,61446,56040,8.98,12.8,0.45,141,299,29,29,170,328,68270,1484803,60198,1241231,2726034,1417,41086,1417,41086,82172,69687,1525889,61615,1282317,2808206,5,0,5,0,0,1,1,0,6,3,3,6,0,3,1,4,0,10,0,1,1,0,0,0,0,0,1,8,4,12,0,3,2,5,0,17,5,8,7,6,0,0,0,0,13,5,8,7,6,2,5,2,5,20,0,2,2,0,0,1,0,1,3,10,18,16,12,2,6,2,6,36,3656573,5392972,9049545,117230,117230,234460,3773803,5510202,9284005,3656573,5392972,9049545,117230,117230,234460,3773803,5510202,9284005,170,226,5415154,5415154,20378476,20378476
218742,00695100,University of South Carolina-Upstate,800 University Way,,Spartanburg,SC,293034999,3,NCAA Division I without football,,1243,2669,3912,1,"Public, 4-year or above",1696694,1818577,,3515271,48,52,0,49611,33127,,82738,76245,65142,,5,6,,95306,78170,,4,5,,35850,28861,,9,10,,43020,30380,,7.5,9.5,,204,169,,,204,169,17465,431756,14855,314956,746712,,,,,,17465,431756,14855,314956,746712,3,2,5,0,0,0,0,0,5,2,2,4,0,2,0,2,0,6,,,,,,,,,,5,4,9,0,2,0,2,0,11,6,5,8,3,0,1,0,1,12,3,3,5,1,4,1,4,1,11,,,,,,,,,,9,8,13,4,4,2,4,2,23,2133537,2393717,4527254,,,,2133537,2393717,4527254,2133537,2393717,4527254,,,,2133537,2393717,4527254,144,130,2478140,2478140,8946029,8946029
218964,00345600,Winthrop University,701 Oakland Ave,,Rock Hill,SC,29733,3,NCAA Division I without football,,1141,2396,3537,1,"Public, 4-year or above",1273788,1672864,,2946652,43,57,0,74066,60593,,134659,100590,69192,,5,7,,111767,74514,,4.5,6.5,,33450,25956,,10,11,,44482,27322,,7.52,10.45,,125,146,,,125,146,32042,586386,29976,553853,1140239,,,,,,32042,586386,29976,553853,1140239,4,1,5,0,0,0,0,0,5,2,1,3,0,4,0,4,0,7,,,,,,,,,,6,2,8,0,4,0,4,0,12,5,6,7,4,0,1,0,1,12,3,1,3,1,5,3,5,3,12,,,,,,,,,,8,7,10,5,5,4,5,4,24,2010070,2701639,4711709,,,,2010070,2701639,4711709,2010070,2701639,4711709,,,,2010070,2701639,4711709,124,145,3684940,3684940,11582972,11582972
219709,00347900,Belmont University,1900 Belmont Blvd,,Nashville,TN,372123757,3,NCAA Division I without football,,2347,4437,6784,2,"Private nonprofit, 4-year or above",2842270,3848579,,6690849,42,58,0,67255,83734,,150989,253593,163031,,6,7,,304312,190203,,5,6,,62740,53873,,12,13,,83653,73721,,9,9.5,,168,182,,,168,182,59171,1057919,64161,981295,2039214,,,,,,59171,1057919,64161,981295,2039214,4,2,6,0,0,0,0,0,6,1,2,3,0,4,0,4,0,7,,,,,,,,,,5,4,9,0,4,0,4,0,13,6,5,9,2,0,1,1,0,12,2,4,4,2,4,3,5,2,13,,,,,,,,,,8,9,13,4,4,4,6,2,25,3859601,4820275,8679876,,,,3859601,4820275,8679876,3859601,4820275,8679876,,,,3859601,4820275,8679876,128,134,3632267,3632267,18195424,18195424
219976,00348600,Lipscomb University,One University Park Drive,,Nashville,TN,372043951,3,NCAA Division I without football,,1076,1684,2760,2,"Private nonprofit, 4-year or above",2889093,3791041,,6680134,43,57,0,116140,113814,,229954,140112,94116,,6,7,,153969,101356,,5.46,6.5,,49924,37149,,12,15,,60945,47586,,9.83,11.71,,194,182,,,194,182,67441,1467944,84341,1543988,3011932,,,,,,67441,1467944,84341,1543988,3011932,5,1,6,0,0,0,0,0,6,2,1,3,0,4,0,4,0,7,,,,,,,,,,7,2,9,0,4,0,4,0,13,8,3,11,0,0,1,1,0,12,3,4,7,0,6,2,8,0,15,,,,,,,,,,11,7,18,0,6,3,9,0,27,5117164,6192536,11309700,,,,5117164,6192536,11309700,5117164,6192536,11309700,,,,5117164,6192536,11309700,139,136,6894707,6894707,21741402,21741402
224147,01116100,Texas A & M University-Corpus Christi,6300 Ocean Dr.,Unit 5719,Corpus Christi,TX,784125719,3,NCAA Division I without football,,2267,3684,5951,1,"Public, 4-year or above",1008518,2039416,,3047934,33,67,0,105933,139536,,245469,114320,73402,,4,8,,152426,83888,,3,7,,46968,36711,,9,15,,60387,44053,,7,12.5,,135,181,,,135,181,44649,920521,59473,1057863,1978384,,,,,,44649,920521,59473,1057863,1978384,2,2,4,0,0,0,0,0,4,4,2,6,0,2,0,2,0,8,,,,,,,,,,6,4,10,0,2,0,2,0,12,5,4,8,1,0,2,1,1,11,4,6,7,3,5,3,6,2,18,,,,,,,,,,9,10,15,4,5,5,7,3,29,2136223,4196820,6333043,,,,2136223,4196820,6333043,2136223,4196820,6333043,,,,2136223,4196820,6333043,93,146,3851839,3851839,13514489,13514489
227368,00359900,The University of Texas Rio Grande Valley,1201 W University Dr,,Edinburg,TX,785392999,3,NCAA Division I without football,,7723,11907,19630,1,"Public, 4-year or above",1173217,1551133,,2724350,43,57,0,146349,63535,,209884,131754,90396,,6,6,,143732,98614,,5.5,5.5,,38775,33669,,14,13,,43428,35016,,12.5,12.5,,182,150,,,182,150,68744,1537500,63864,1157170,2694670,,,,,,68744,1537500,63864,1157170,2694670,5,0,5,0,0,1,1,0,6,5,0,5,0,0,1,1,0,6,,,,,,,,,,10,0,10,0,0,2,2,0,12,8,3,10,1,0,3,3,0,14,3,3,6,0,5,2,7,0,13,,,,,,,,,,11,6,16,1,5,5,10,0,27,2894658,2687043,5581701,,,,2894658,2687043,5581701,2894658,2687043,5581701,,,,2894658,2687043,5581701,156,119,5344024,5344024,14186649,14186649
228769,00365600,The University of Texas at Arlington,701 S. Nedderman Dr.,,Arlington,TX,76013,3,NCAA Division I without football,,8283,10706,18989,1,"Public, 4-year or above",1411114,2299136,,3710250,38,62,0,85232,87945,,173177,113202,111103,,5,6,,141502,133324,,4,5,,57370,50554,,11,13,,63107,54767,,10,12,,167,162,,,167,162,57206,1155091,69696,1502662,2657753,,,,,,57206,1155091,69696,1502662,2657753,3,2,5,0,0,0,0,0,5,1,2,3,0,3,0,3,0,6,,,,,,,,,,4,4,8,0,3,0,3,0,11,5,5,9,1,0,1,1,0,11,4,5,8,1,3,1,4,0,13,,,,,,,,,,9,10,17,2,3,2,5,0,24,2449500,3648777,6098277,,,,2449500,3648777,6098277,2449500,3648777,6098277,,,,2449500,3648777,6098277,115,121,6908720,6908720,16960989,16960989
230737,00402700,Utah Valley University,800 W University Parkway,,Orem,UT,840585999,3,NCAA Division I without football,,9009,8304,17313,1,"Public, 4-year or above",1583528,1720772,,3304300,48,52,0,181043,134722,,315765,129783,89104,,6,6,,141581,97204,,5.5,5.5,,54371,45363,,15,15,,70919,61858,,11.5,11,,265,228,,,265,228,67066,1693931,55092,1174413,2868344,,,,,,67066,1693931,55092,1174413,2868344,5,1,6,0,0,0,0,0,6,4,1,5,0,1,0,1,0,6,,,,,,,,,,9,2,11,0,1,0,1,0,12,9,6,11,4,0,1,1,0,16,2,6,4,4,6,1,7,0,15,,,,,,,,,,11,12,15,8,6,2,8,0,31,3743612,3569168,7312780,,,,3743612,3569168,7312780,3811070,3654081,7465151,,,,3811070,3654081,7465151,188,155,6804014,6841685,16916297,16916297
231174,00369600,University of Vermont,85 S Prospect St,,Burlington,VT,054050160,3,NCAA Division I without football,,4033,6746,10779,1,"Public, 4-year or above",3594346,4390842,,7985188,45,55,0,143750,116506,,260256,193286,98672,,6,8,,233343,112287,,4.97,7.03,,59228,45993,,13,16,,73751,57268,,10.44,12.85,,261,353,,,261,353,63735,1699452,51966,1324801,3024253,,,,,,63735,1699452,51966,1324801,3024253,4,2,6,0,0,0,0,0,6,2,2,4,0,4,0,4,0,8,,,,,,,,,,6,4,10,0,4,0,4,0,14,8,11,12,7,0,1,1,0,20,4,9,8,5,6,3,7,2,22,,,,,,,,,,12,20,20,12,6,4,8,2,42,5520486,6257315,11777801,,,,5520486,6257315,11777801,5773029,6181588,11954617,,,,5773029,6181588,11954617,202,250,5875603,5911496,21185599,21185599
232186,00374900,George Mason University,4400 University Dr,,Fairfax,VA,220304444,3,NCAA Division I without football,,10451,10565,21016,1,"Public, 4-year or above",3122221,3943637,,7065858,44,56,0,225459,178083,,403542,217466,104787,,9,9,,244650,117885,,8,8,,60666,40867,,18,20,,77999,51084,,14,16,,304,306,,,304,306,119965,2448078,95271,1963774,4411852,,,,,,119965,2448078,95271,1963774,4411852,7,2,9,0,0,0,0,0,9,3,2,5,0,4,0,4,0,9,,,,,,,,,,10,4,14,0,4,0,4,0,18,10,17,15,12,0,2,1,1,29,3,10,8,5,9,4,10,3,26,,,,,,,,,,13,27,23,17,9,6,11,4,55,5283827,5783548,11067375,,,,5283827,5783548,11067375,5283827,5783548,11067375,,,,5283827,5783548,11067375,232,245,9161423,7890076,28196432,26925085
232566,00371900,Longwood University,201 High St,,Farmville,VA,23909,3,NCAA Division I without football,,909,2091,3000,1,"Public, 4-year or above",1422581,2091776,,3514357,40,60,0,47378,48177,,95555,68757,75634,,6,8,,82509,86439,,5,7,,65729,47946,,4,6,,65729,47946,,4,6,,122,143,,,122,143,52188,964749,51689,932068,1896817,,,,,,52188,964749,51689,932068,1896817,4,1,5,0,0,1,1,0,6,2,1,3,0,4,1,5,0,8,,,,,,,,,,6,2,8,0,4,2,6,0,14,4,1,4,1,0,0,0,0,5,1,0,1,0,5,1,5,1,7,,,,,,,,,,5,1,5,1,5,1,5,1,12,1862032,3222759,5084791,,,,1862032,3222759,5084791,1991713,3254975,5246688,,,,1991713,3254975,5246688,122,143,3457099,3163072,12319728,12023798
233277,00373200,Radford University,801 East Main St.,,Radford,VA,24142,3,NCAA Division I without football,,2316,3695,6011,1,"Public, 4-year or above",1210780,1671546,,2882326,42,58,0,91908,59823,,151731,101139,63178,,6,8,,127755,69714,,4.75,7.25,,48898,29610,,8,11,,57953,39054,,6.75,8.34,,131,193,,,131,193,34410,666721,36729,667443,1334164,,,,,,34410,666721,36729,667443,1334164,4,1,5,0,0,1,1,0,6,3,1,4,0,3,1,4,0,8,,,,,,,,,,7,2,9,0,3,2,5,0,14,6,6,8,4,0,0,0,0,12,3,5,5,3,5,1,5,1,14,,,,,,,,,,9,11,13,7,5,1,5,1,26,2558126,2550393,5108519,,,,2558126,2550393,5108519,2558126,2550393,5108519,,,,2558126,2550393,5108519,131,157,7828631,4174205,15848430,12194004
234030,00373500,Virginia Commonwealth University,910 W Franklin St,,Richmond,VA,232842512,3,NCAA Division I without football,,6673,11798,18471,1,"Public, 4-year or above",3155153,4642076,,7797229,40,60,0,332224,230330,,562554,391046,150906,,6,7,,426596,162514,,5.5,6.5,,91770,53863,,12,15,,104880,59848,,10.5,13.5,,193,240,,,193,240,140512,2532874,96728,2233018,4765892,,,,,,140512,2532874,96728,2233018,4765892,5,1,6,0,0,0,0,0,6,0,1,1,0,6,0,6,0,7,,,,,,,,,,5,2,7,0,6,0,6,0,13,9,8,12,5,0,1,0,1,18,5,7,8,4,7,2,7,2,21,,,,,,,,,,14,15,20,9,7,3,7,3,39,5404405,6926203,12330608,,,,5404405,6926203,12330608,5404405,6926202,12330607,,,,5404405,6926202,12330607,147,188,12438361,13434949,37305038,36824686
235316,00377800,Gonzaga University,E 502 Boone Ave,,Spokane,WA,992580102,3,NCAA Division I without football,,2246,2653,4899,2,"Private nonprofit, 4-year or above",2996758,3898503,,6895261,43,57,0,444053,358420,,802473,461779,178050,,7,7,,461779,178050,,7,7,,167944,69848,,11,13,,175941,72642,,10.5,12.5,,228,257,,,228,257,138598,2706021,112300,2110291,4816312,,,,,,138598,2706021,112300,2110291,4816312,7,0,7,0,0,0,0,0,7,4,0,4,0,3,0,3,0,7,,,,,,,,,,11,0,11,0,3,0,3,0,14,10,8,10,8,0,0,0,0,18,4,2,4,2,8,2,8,2,16,,,,,,,,,,14,10,14,10,8,2,8,2,34,6561793,7011620,13573413,,,,6561793,7011620,13573413,6758270,7288778,14047048,,,,6758270,7288778,14047048,167,187,8558007,2880831,43350174,33631607
236595,00379000,Seattle University,901 12th Ave,,Seattle,WA,981224340,3,NCAA Division I without football,,1576,2522,4098,2,"Private nonprofit, 4-year or above",3020001,4500238,,7520239,40,60,0,125280,125291,,250571,128963,104962,,7,9,,180548,134952,,5,7,,78399,56511,,8,10,,83626,59485,,7.5,9.5,,198,253,,,198,253,130989,2622938,90942,1760583,4383521,,,,,,130989,2622938,90942,1760583,4383521,3,3,6,0,0,1,1,0,7,1,3,4,0,4,1,5,0,9,,,,,,,,,,4,6,10,0,4,2,6,0,16,6,6,7,5,0,1,0,1,13,3,7,4,6,5,3,5,3,18,,,,,,,,,,9,13,11,11,5,4,5,4,31,4641579,6261502,10903081,,,,4641579,6261502,10903081,4650098,6248984,10899082,,,,4650098,6248984,10899082,155,201,4449984,4465365,21349552,21349552
239105,00386300,Marquette University,1250 W Wisconsin Avenue,,Milwaukee,WI,53233,3,NCAA Division I without football,,3198,4162,7360,2,"Private nonprofit, 4-year or above",3101353,4333497,,7434850,42,58,0,1253523,183470,,1436993,512296,148141,,7,7,,652013,188543,,5.5,5.5,,139620,74345,,11,12,,153582,81104,,10,11,,232,252,,,232,252,281443,5875000,94483,2692639,8567639,,,,,,281443,5875000,94483,2692639,8567639,4,3,7,0,0,0,0,0,7,2,3,5,0,2,0,2,0,7,,,,,,,,,,6,6,12,0,2,0,2,0,14,9,5,11,3,0,2,0,2,16,3,4,5,2,7,3,7,3,17,,,,,,,,,,12,9,16,5,7,5,7,5,33,5481775,6125097,11606872,,,,5481775,6125097,11606872,5481775,6125097,11606872,,,,5481775,6125097,11606872,176,186,3461,7637702,39362305,39362305
240277,00389900,University of Wisconsin-Green Bay,2420 Nicolet Dr,,Green Bay,WI,543117001,3,NCAA Division I without football,,1832,3022,4854,1,"Public, 4-year or above",772788,1294209,,2066997,37,63,0,93894,81636,,175530,48554,49044,,7,8,,88973,76631,,3.82,5.12,,46366,31099,,6,9,,67035,45217,,4.15,6.19,,87,128,,,87,128,52757,654465,55767,885501,1539966,,,,,,52757,654465,55767,885501,1539966,2,5,4,3,0,0,0,0,7,1,4,3,2,3,0,3,0,8,,,,,,,,,,3,9,7,5,3,0,3,0,15,4,5,4,5,0,1,0,1,10,1,5,1,5,4,3,5,2,13,,,,,,,,,,5,10,5,10,4,4,5,3,23,1020185,2173881,3194066,,,,1020185,2173881,3194066,1020185,2173881,3194066,,,,1020185,2173881,3194066,87,128,2719667,2189491,9065852,8535676
240453,00389600,University of Wisconsin-Milwaukee,2200 E Kenwood Blvd,,Milwaukee,WI,53211,3,NCAA Division I without football,,7125,8544,15669,1,"Public, 4-year or above",2037037,2543081,,4580118,44,56,0,102398,61033,,163431,118047,72597,,5,6,,147559,87116,,4,5,,34355,28598,,12,12,,49971,41597,,8.25,8.25,,252,237,,,252,237,46480,1154313,33442,720473,1874786,,,,,,46480,1154313,33442,720473,1874786,3,2,5,0,0,0,0,0,5,2,2,4,0,2,0,2,0,6,,,,,,,,,,5,4,9,0,2,0,2,0,11,6,8,8,6,0,2,0,2,16,2,7,4,5,4,4,4,4,17,,,,,,,,,,8,15,12,11,4,6,4,6,33,2895032,3227935,6122967,,,,2895032,3227935,6122967,2895032,3227935,6122967,,,,2895032,3227935,6122967,178,169,3302121,3302121,19531917,19531917
433660,03255300,Florida Gulf Coast University,10501 Fgcu Blvd S,,Fort Myers,FL,339656565,3,NCAA Division I without football,,4696,6413,11109,1,"Public, 4-year or above",1385053,2958606,,4343659,32,68,0,119041,123312,,242353,134304,106611,,6,9,,146513,119937,,5.5,8,,62594,43975,,9,13,,70418,48653,,8,11.75,,127,166,,,127,166,48761,921759,58802,1000981,1922740,,,,,,48761,921759,58802,1000981,1922740,5,0,5,0,0,1,1,0,6,5,1,5,1,2,1,3,0,9,,,,,,,,,,10,1,10,1,2,2,4,0,15,7,3,8,2,0,0,0,0,10,3,1,4,0,8,2,8,2,14,,,,,,,,,,10,4,12,2,8,2,8,2,24,2559654,4538882,7098536,,,,2559654,4538882,7098536,2559654,4538882,7098536,,,,2559654,4538882,7098536,127,163,5189298,5189298,16309477,16309477
